8,78,4,32,32,6,8,,,,,,,,,,,
ROST Analysis,,,2016-Warm,1997-Warm,1970s-Warm,1870s-Warm,,,,,,,,,,,
Sample,Pop ,MsSh18,,MsSh20,,AAT20,,RBG27,,RBG29,,K16,,RBG18,,Calbo40,
BI31,1997-Warm,215,224,107,107,194,194,194,194,134,134,129,129,172,178,128,140
BI32,1997-Warm,215,227,107,107,194,203,194,194,134,134,123,129,172,178,119,128
H1,1970s-Warm,224,224,107,107,194,203,194,194,134,134,123,129,172,178,125,137
H2,1970s-Warm,224,224,107,107,194,194,194,194,134,134,133,133,172,180,128,137
H3,1970s-Warm,224,224,107,107,194,194,188,188,134,134,129,133,172,172,128,131
H4,1970s-Warm,215,224,107,107,194,203,182,198,130,134,123,129,178,178,128,131
H5,1970s-Warm,215,227,107,111,194,203,182,194,130,134,129,133,172,180,131,131
H6,1970s-Warm,224,224,107,107,188,194,182,194,130,134,133,135,178,178,137,143
H7,1870s-Warm,224,224,107,107,194,194,188,188,134,134,129,129,172,178,125,131
H8,1870s-Warm,224,224,107,107,188,194,188,188,134,134,129,133,172,178,119,128
H9,1870s-Warm,224,224,107,107,194,203,188,194,134,138,129,135,172,178,128,128
H10,1870s-Warm,224,224,107,107,188,194,188,194,134,138,133,135,172,172,119,134
H11,1870s-Warm,224,227,107,107,188,194,188,194,134,138,123,129,172,178,119,128
H12,1870s-Warm,224,224,107,107,194,194,188,188,134,134,135,135,172,178,128,134
H13,1870s-Warm,224,224,107,111,194,194,188,198,134,134,135,135,172,178,128,131
H14,1870s-Warm,215,224,107,107,188,194,188,194,134,138,129,129,172,180,128,134
