Title line:"ROST Analysis"
MsSh18
MsSh20
AAT20
RBG27
RBG29
K16
RBG18
Calbo40
Pop
2016-Warm, 0104 0101 0202 0303 0202 0303 0102 0407
2016-Warm, 0104 0101 0102 0304 0102 0304 0102 0207
2016-Warm, 0101 0102 0202 0103 0102 0103 0102 0406
2016-Warm, 0103 0101 0202 0303 0202 0304 0203 0406
2016-Warm, 0101 0101 0102 0103 0102 0204 0103 0407
2016-Warm, 0103 0101 0203 0303 0202 0304 0202 0408
2016-Warm, 0303 0101 0202 0103 0202 0103 0101 0408
2016-Warm, 0103 0101 0202 0103 0202 0303 0202 0000
2016-Warm, 0104 0101 0202 0303 0202 0304 0103 0707
2016-Warm, 0101 0102 0202 0304 0202 0303 0203 0508
2016-Warm, 0103 0101 0203 0103 0102 0304 0102 0408
2016-Warm, 0101 0101 0202 0304 0202 0303 0102 0506
2016-Warm, 0101 0101 0203 0103 0102 0204 0103 0808
2016-Warm, 0101 0101 0203 0103 0102 0103 0203 0408
2016-Warm, 0101 0102 0202 0103 0102 0404 0303 0204
2016-Warm, 0101 0102 0202 0304 0202 0304 0103 0607
2016-Warm, 0104 0101 0203 0304 0202 0303 0103 0408
2016-Warm, 0102 0102 0203 0204 0102 0304 0103 0407
2016-Warm, 0101 0101 0202 0103 0102 0404 0202 0809
2016-Warm, 0103 0101 0203 0103 0102 0304 0202 0708
2016-Warm, 0101 0101 0203 0103 0102 0304 0102 0404
2016-Warm, 0101 0101 0303 0103 0202 0304 0202 0405
2016-Warm, 0104 0101 0202 0103 0102 0404 0203 0405
2016-Warm, 0103 0101 0203 0304 0102 0304 0202 0405
2016-Warm, 0303 0101 0202 0103 0102 0404 0102 0000
2016-Warm, 0103 0101 0202 0304 0102 0303 0103 0404
2016-Warm, 0101 0101 0202 0304 0202 0404 0103 0506
2016-Warm, 0303 0101 0203 0103 0102 0304 0101 0507
2016-Warm, 0104 0101 0202 0303 0202 0404 0102 0408
2016-Warm, 0304 0101 0202 0304 0102 0303 0102 0405
2016-Warm, 0101 0101 0202 0304 0202 0304 0103 0000
2016-Warm, 0103 0101 0203 0103 0202 0404 0103 0407
Pop
1997-Warm, 0103 0101 0202 0303 0202 0404 0103 0406
1997-Warm, 0103 0101 0202 0304 0202 0304 0202 0406
1997-Warm, 0101 0101 0203 0404 0202 0404 0102 0208
1997-Warm, 0101 0101 0000 0303 0202 0304 0103 0208
1997-Warm, 0103 0101 0202 0304 0202 0304 0102 0707
1997-Warm, 0102 0102 0202 0303 0202 0304 0203 0205
1997-Warm, 0303 0102 0202 0304 0202 0404 0102 0404
1997-Warm, 0101 0101 0202 0303 0202 0404 0102 0808
1997-Warm, 0102 0101 0203 0303 0202 0304 0303 0609
1997-Warm, 0101 0101 0203 0303 0202 0303 0103 0708
1997-Warm, 0101 0101 0202 0303 0202 0304 0203 0407
1997-Warm, 0103 0101 0202 0303 0202 0404 0202 0507
1997-Warm, 0101 0102 0202 0303 0202 0404 0101 0508
1997-Warm, 0103 0101 0202 0303 0202 0304 0101 0509
1997-Warm, 0101 0101 0000 0304 0202 0303 0102 0709
1997-Warm, 0101 0101 0203 0304 0202 0304 0102 0608
1997-Warm, 0101 0101 0203 0304 0202 0404 0103 0202
1997-Warm, 0104 0101 0202 0303 0202 0404 0102 0202
1997-Warm, 0103 0101 0202 0303 0202 0404 0303 0205
1997-Warm, 0101 0101 0202 0303 0202 0404 0101 0307
1997-Warm, 0101 0101 0202 0303 0202 0304 0101 0307
1997-Warm, 0104 0101 0202 0303 0202 0404 0102 0307
1997-Warm, 0101 0101 0000 0303 0202 0404 0203 0304
1997-Warm, 0103 0101 0303 0303 0202 0404 0202 0103
1997-Warm, 0104 0101 0203 0304 0202 0404 0102 0204
1997-Warm, 0104 0101 0203 0303 0202 0404 0101 0405
1997-Warm, 0304 0101 0202 0303 0202 0304 0202 0405
1997-Warm, 0304 0101 0202 0303 0202 0404 0202 0304
1997-Warm, 0303 0101 0202 0303 0202 0304 0202 0407
1997-Warm, 0104 0101 0202 0303 0202 0304 0203 0204
1997-Warm, 0103 0101 0202 0303 0202 0404 0102 0408
1997-Warm, 0104 0101 0203 0303 0202 0304 0102 0204
Pop
1970s-Warm, 0303 0101 0203 0303 0202 0304 0102 0307
1970s-Warm, 0303 0101 0202 0303 0202 0505 0103 0407
1970s-Warm, 0303 0101 0202 0202 0202 0405 0101 0405
1970s-Warm, 0103 0101 0203 0104 0102 0304 0202 0405
1970s-Warm, 0104 0102 0203 0103 0102 0405 0103 0505
1970s-Warm, 0303 0101 0102 0103 0102 0506 0202 0709
Pop
1870s-Warm, 0303 0101 0202 0202 0202 0404 0102 0305
1870s-Warm, 0303 0101 0102 0202 0202 0405 0102 0204
1870s-Warm, 0303 0101 0203 0203 0203 0406 0102 0404
1870s-Warm, 0303 0101 0102 0203 0203 0506 0101 0206
1870s-Warm, 0304 0101 0102 0203 0203 0304 0102 0204
1870s-Warm, 0303 0101 0202 0202 0202 0606 0102 0406
1870s-Warm, 0303 0102 0202 0204 0202 0606 0102 0405
1870s-Warm, 0103 0101 0102 0203 0203 0404 0103 0406  
